Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ETFDH,1031850008.1843797,1345438708.3374186,1544363901.4285533,1029029975.5366707,1173376935.3683991,1129999375.3220444,1165796374.8304527
ETHE1,391901827.16931736,340534417.49178606,299438176.79311967,435614747.564448,458211828.516644,506448429.7084118,437249181.6183336
EVI5L,52357197.49194848,35645781.413934454,40237464.34877924,85353959.28735317,23080105.331848867,23080105.331848867,23080105.331848867
EVL,306233925.77876943,209734646.0676716,155558652.1093382,167220036.8493424,584899668.3370793,436211156.4357009,371200493.90275544
EWSR1,209953211.13339624,67472587.45440856,72429655.77454284,524397886.29639137,43453933.81020171,509891903.82547754,501211998.0268266
EXD2,58591200.15019768,42629101.80886915,9671577.541394353,13054430.54930197,13054430.54930197,13054430.54930197,13054430.54930197
EXOC1,516538714.9371043,418591011.11581135,148567657.0244226,920609245.6800555,71289851.93355681,393330569.75276273,71289851.93355681
EXOC2,658015321.8432804,500763663.8528732,364999120.009191,529775164.61224556,318268269.3721818,567775197.0676509,521330379.8372024
EXOC3,576297402.8657479,296850995.37288624,466429797.9318469,470400258.25427186,542631383.9940206,457712455.3666701,403460212.846036
EXOC4,900205678.9312729,741898125.5306041,884114388.8195895,958566496.0507166,645481243.2244475,871014199.8069308,716327044.504798
EXOC5,961731354.264614,743105402.6537066,766353452.3534967,437597641.36440635,534477851.54015195,365656783.01951677,564126840.1829047
EXOC6,88226520.50040396,68256762.74774691,60326846.08548492,31236290.474894136,31236290.474894136,31236290.474894136,84951688.25955862
EXOC6B,357642659.93806803,364926440.3996141,241990045.77048227,258465370.7781601,237321700.13865468,211751348.33565164,384274374.66119254
EXOC7,840227501.4335334,666338333.7563998,494139303.67366856,693196193.5999631,317360792.1570369,757204764.1907392,409892866.3933926
EXOC8,502968126.4620845,405018461.57303196,206436526.67942515,613687418.788543,244230083.41921812,267575071.9013907,290495870.6853679
EXOG,76206934.71951105,57650323.56040495,77126544.90740195,231796702.78129795,191751448.09575248,222629048.25895196,259097863.175773
EXTL3,10342794.163872564,10342794.163872564,10342794.163872564,10022990.155558398,10022990.155558398,10022990.155558398,10022990.155558398
EZR,3977566792.64981,3027892248.7321258,2833637173.228913,3348146781.917198,2791064017.2510533,3484737880.169886,2911481620.140773
F13A1,69875923.54162146,20221375.0728785,20221375.0728785,25121858.459593683,25121858.459593683,25121858.459593683,84273567.66961575
F2,22503448.682468224,9516424.24997604,9516424.24997604,12861590.293556336,97745061.6572969,81326676.73165767,67703513.414265
F3,194595320.91201776,123978157.69956297,167622787.95416805,57427361.33067702,57427361.33067702,57427361.33067702,818712269.6454111
F8A1,163431175.54236874,59100860.01114651,96993939.3508234,111918428.06428866,152125710.5678505,130208910.30952188,119240277.5915519
FA2H,10316092.594618445,10316092.594618445,10316092.594618445,9948470.186687954,9948470.186687954,9948470.186687954,9948470.186687954
FAAH,398495250.46627825,241425733.69266596,123971211.26092066,110279444.67531785,131377286.7736718,138584919.24605605,195544235.86223987
FABP1,9371565.29255121,9371565.29255121,9371565.29255121,10267623.606520098,10267623.606520098,10267623.606520098,10267623.606520098
FABP3,9217156635.234188,7532064916.354541,9641308242.000492,14141976199.348125,12003584697.426691,10400217399.307224,9278375941.598278
FABP5,7427487134.25297,3965709947.678167,5405512155.586546,5693339428.763526,7082462245.436135,4186183386.47042,6639510746.887055
FABP6,9312121.223303383,9312121.223303383,9312121.223303383,20519661.721363246,20519661.721363246,20519661.721363246,20519661.721363246
FABP7,4632159261.417663,1881320345.1139898,1430431213.7849185,1973342766.657656,1257617307.627302,826293004.5369762,1391715509.7804441
FADS2,45978459.75740386,39886283.282662906,7912137.16328824,21795446.406083997,21795446.406083997,21795446.406083997,21795446.406083997
FAF1,181374227.17655164,43679510.94781336,150584329.59402078,165610523.27511102,165361738.22668937,148230891.88246387,218925233.96011698
FAF2,994620268.3962624,208551785.75142652,238096772.88164526,479489313.96014845,472995548.51726615,299123537.33640957,257210813.86750263
FAH,205065673.01863527,184705304.83975267,238223619.3346281,240775689.55196315,193498341.51106623,183960499.27776483,243858582.27104414
FAHD1,1120129063.2992852,1167553110.2610936,1999730930.344356,1387131752.5771825,877605808.1224496,1594502543.6749625,1154926867.7112193
FAHD2A,851881927.2570026,1010391643.9523172,1158346117.0896103,1183644815.0031018,1227089170.4403303,1310620720.7018776,1120824150.8580282
FAHD2B,10339302.547783775,10339302.547783775,10339302.547783775,10809431.160964642,10809431.160964642,10809431.160964642,10809431.160964642
FAIM2,13790579.37811141,125386029.08466342,13790579.37811141,126041381.4438486,99237552.08666609,118256351.76840743,144431754.9596534
FAM107A,10106214.276343059,10106214.276343059,10106214.276343059,11075995.601333665,11075995.601333665,11075995.601333665,11075995.601333665
FAM107B,9616691.286118576,204596021.817836,9616691.286118576,86576201.5240326,134668613.77805808,13129971.14905295,13129971.14905295
FAM114A2,91547979.975758,52141153.05826177,63692074.584719315,196863758.47795954,31292698.284782864,31292698.284782864,31292698.284782864
FAM115A,40332834.94021039,8523034.42921556,8523034.42921556,14306991.864591226,14306991.864591226,14306991.864591226,14306991.864591226
FAM120A,298541934.4353533,277964895.4734596,179041946.51949334,877742694.7103331,968584967.9795543,768534807.156818,643740524.1668712
FAM120B,10510461.138819255,10510461.138819255,10510461.138819255,17506231.636246357,10510305.605917873,19689497.833022147,10510305.605917873
FAM120C,34137162.10075769,119073277.28716429,9115015.195559356,12656827.117083961,12656827.117083961,12656827.117083961,12656827.117083961
FAM126A,23382338.462878015,10063821.39399201,10063821.39399201,9630821.617205765,9630821.617205765,9630821.617205765,9630821.617205765
FAM126B,123642746.9512778,189511189.39196953,350065081.69255173,414243061.79143924,414686892.2893133,417994945.587879,433385664.24095404
FAM127A,86908341.55595408,60650447.557332836,38083203.70807605,26807190.939376935,26807190.939376935,26807190.939376935,136776321.90348235
FAM129B,9118538.035811841,9118538.035811841,9118538.035811841,13372108.325775202,13372108.325775202,13372108.325775202,13372108.325775202
FAM131B,42863379.32093957,10835770.01930014,10835770.01930014,10684312.546924578,10684312.546924578,59247972.10065597,10684312.546924578
FAM134A,218127642.83598962,209172376.285272,233275117.04178062,327034495.4040188,24386236.11175889,250798582.69823128,215679426.6734153
FAM134C,28484232.286703866,9820800.082499193,9820800.082499193,9703634.035240544,9703634.035240544,9703634.035240544,9703634.035240544
