,Gene1,Gene2,ytest,ypredict
0,CTNNB1,ABI2,9.769387,5.499677501999996
1,CTNNB1,ACTB,8.321928,5.793975082000002
2,CTNNB1,ADD1,10.228819,5.1090628559999995
3,CTNNB1,ADD3,7.4474587,6.3612284889999975
4,CTNNB1,AGRN,6.8800907,6.166932979000003
5,CTNNB1,ANK2,8.556394000000001,5.5978424244000005
6,CTNNB1,AOC3,7.8537793,6.456074716000001
7,CTNNB1,APOBEC3C,4.5546265,6.287529883000002
8,CTNNB1,ATP2B2,5.9068904,5.512364431
9,CTNNB1,BDKRB1,6.327952,6.450354186999997
10,CTNNB1,BHLHE23,3.8461947,4.134967973599999
11,CTNNB1,BNC1,5.3801955999999995,5.895810547000001
12,CTNNB1,CANT1,8.162728999999999,6.3911152369999975
13,CTNNB1,CANX,8.099536,5.561094065699999
14,CTNNB1,CAP2,6.7612133000000005,5.737176936000001
15,CTNNB1,CDO1,6.3584538,6.3627867950000025
16,CTNNB1,CMTR2,5.9951989999999995,5.998879138399999
17,CTNNB1,CNBP,4.551099,6.383921072399999
18,CTNNB1,CORO1A,6.962032300000001,5.594131102999998
19,CTNNB1,DCAF15,4.5475802000000005,5.856667102000001
20,CTNNB1,DEGS1,3.914802,5.979847093999997
21,CTNNB1,DPYSL3,6.658963000000001,6.8400552019999985
22,CTNNB1,DXO,4.0551414,5.1089145569999985
23,CTNNB1,ELF4,6.745002700000001,5.706094451
24,CTNNB1,EPHA4,8.614109,5.627374991
25,CTNNB1,EXOC3,6.8889685,6.685961701
26,CTNNB1,GALNT4,5.819428,5.926942653999996
27,CTNNB1,GLB1L,2.159369,6.326590334000002
28,CTNNB1,GNL3L,10.769387,6.153817963000002
29,CTNNB1,GRM3,6.8889685,5.8289019600000005
30,CTNNB1,IFIH1,7.962032300000001,5.9977544799999984
31,CTNNB1,IGFBP3,7.1953955,6.117152194999999
32,CTNNB1,KCTD12,6.8889685,5.9713316849999964
33,CTNNB1,KCTD16,6.8889685,6.013346150000001
34,CTNNB1,KIAA0586,5.2515388,4.814939578000001
35,CTNNB1,LIN7A,7.263034299999999,6.341660131000001
36,CTNNB1,MEMO1,6.4806256,6.020552935000001
37,CTNNB1,MINK1,6.4409160000000005,6.014417457999997
38,CTNNB1,NEK9,5.2515388,6.273266566999995
39,CTNNB1,NSF,6.063912,4.7031988288
40,CTNNB1,OLFM1,8.67423,6.543894830000004
41,CTNNB1,PALM,6.5423183,6.306739839000001
42,CTNNB1,PLCB1,9.906891,4.929348875899997
43,CTNNB1,PLVAP,7.8889685,5.976976691
44,CTNNB1,PPP3CA,9.769387,5.806110812999999
45,CTNNB1,PPP3CC,6.6363616,6.079321805400001
46,CTNNB1,PRDM16,9.906891,6.038499436
47,CTNNB1,QRFPR,1.7923673,6.111915967
48,CTNNB1,RAB18,5.7858753,6.231510368999998
49,CTNNB1,RAB5C,5.295128,6.270041649000003
50,CTNNB1,RAB8B,7.0892672999999995,6.356583272000003
51,CTNNB1,RAD54L2,1.3888276000000002,6.039061617000001
52,CTNNB1,RIMS2,10.228819,5.3259316964
53,CTNNB1,RORC,6.7052570000000005,5.830140408999996
54,CTNNB1,RPH3A,6.029146,4.595622738
55,CTNNB1,RPP25,4.721024,6.000445083000002
56,CTNNB1,RTN3,4.5546265,6.037969614999998
57,CTNNB1,S100A11,7.4474587,5.0325490939999975
58,CTNNB1,S100A5,3.8461947,5.708111535999999
59,CTNNB1,SART1,6.3708377,6.469327845000002
60,CTNNB1,SEPSECS,3.4490992999999994,5.531894227
61,CTNNB1,SLC16A5,3.5214595999999996,6.184441858000001
62,CTNNB1,SLC18A2,6.6363616,5.940173140999999
63,CTNNB1,SLC2A14,4.8088584,5.079398272700001
64,CTNNB1,SLC32A1,8.099536,5.9833116224000005
65,CTNNB1,SLC9C1,4.8088584,6.402045239000004
66,CTNNB1,STX1B,8.099536,6.198242102000003
67,CTNNB1,STX6,5.295128,5.694797531000003
68,CTNNB1,STX7,5.295128,6.668128986999997
69,CTNNB1,STXBP5,7.871267,6.076962498
70,CTNNB1,STYX,5.705257,6.593655612000004
71,CTNNB1,SURF6,2.5854135,6.331339236999998
72,CTNNB1,SYNGR2,5.295128,6.656982723000006
73,CTNNB1,SYT2,6.971431,6.1616255829999975
74,CTNNB1,TACO1,3.4490992999999994,5.782931155
75,CTNNB1,TCTE1,3.724993,5.697865331999999
76,CTNNB1,TUBA1A,5.934198,5.561505401
77,CTNNB1,U2SURP,2.4560916,5.6565646089999975
78,CTNNB1,VDAC1,7.2863039999999994,5.496423884699996
79,CTNNB1,ZNF516,8.019364999999999,6.124877088999997
80,RIMBP2,ABI2,4.0279202000000005,4.7540517709999985
81,RIMBP2,ACTB,4.128156,4.2573590708
82,RIMBP2,ADD1,4.0279202000000005,3.8826413811999987
83,RIMBP2,ADD3,4.0279202000000005,3.6513077495000004
84,RIMBP2,AGRN,4.0279202000000005,4.3860037257
85,RIMBP2,ANK2,4.0279202000000005,5.775833041000001
86,RIMBP2,AOC3,4.6495028,3.6264731739999996
87,RIMBP2,APOBEC3C,2.0461139999999998,3.7755684348000007
88,RIMBP2,ATP2B2,4.0279202000000005,4.392958054799998
89,RIMBP2,BDKRB1,5.1520033,4.2185397252
90,RIMBP2,BHLHE23,1.6509179,1.9515865839999986
91,RIMBP2,BNC1,1.6509179,3.87905182935
92,RIMBP2,CANT1,1.7923673,3.8890184723999988
93,RIMBP2,CANX,4.0279202000000005,4.641793509399999
94,RIMBP2,CAP2,4.0279202000000005,3.435064807799997
95,RIMBP2,CDO1,0.8552738000000001,4.136166362599999
96,RIMBP2,CMTR2,0.8552738000000001,3.9753097138
97,RIMBP2,CNBP,2.9474682999999997,4.0304225673
98,RIMBP2,CORO1A,4.0279202000000005,3.5366274965000017
99,RIMBP2,DCAF15,0.8552738000000001,3.4786478344999994
100,RIMBP2,DEGS1,1.7923673,3.4668562796
101,RIMBP2,DPYSL3,4.0279202000000005,4.417260003199998
102,RIMBP2,DXO,2.717066,4.674001517099999
103,RIMBP2,ELF4,1.6509179,3.9351752714000003
104,RIMBP2,EPHA4,4.7776074,3.5208702022000007
105,RIMBP2,EXOC3,4.0279202000000005,3.525901012499999
106,RIMBP2,GALNT4,1.0244004,3.8024049044999986
107,RIMBP2,GLB1L,0.7650389,3.7837060985000015
108,RIMBP2,GNL3L,4.128156,3.4112327895999983
