Age,ADNP,AHDC1,ALG6,ANKRD11,ARHGEF9,ARID1B,ASXL3,ATP1A1,ATP1A3,BCL11A,CAMK2A,CCNK,CEP290,CHD1,CHD2,CHD3,CHD8,CIC,CNKSR2,CNOT3,CNTNAP2,CTNNA2,CUX2,CYP27A1,DDX3X,DEAF1,DHX30,DNMT3A,DYRK1A,EHMT1,EP300,FBXO11,FOXP1,GABBR2,GATM,HDAC8,HNRNPU,IQSEC2,IRF2BPL,KAT6A,KIF5C,KMT2A,KMT2C,MAGEL2,MBD5,MBOAT7,MECP2,MED13,MED13L,MEF2C,MTOR,NAA15,NACC1,NBEA,NFIB,NR2F1,NTNG1,NTRK2,PCCA,PHF21A,PHIP,POGZ,PPM1D,PPP2CA,PPP2R5D,PRODH,PRR12,PSMD12,PTEN,PTPN11,RAD21,RAI1,RALA,RERE,RHEB,RNF135,RPS6KA3,SATB2,SCN1A,SETD1B,SETD5,SHANK3,SIN3A,SLC6A1,SMARCC2,SMC1A,SMC3,STXBP1,SYNE1,SYNGAP1,TBC1D23,TCF20,TCF4,TLK2,TRAF7,TRIP12,TRRAP,TSC2,TTN,UBE3A,UNC13A,UPF3B,USP7,WAC,WASF1,ZBTB20,ZNF462,mean,stderr
448.0,30.385526000000002,6.874142,3.774893,8.521463,21.311235,7.332264,3.012813,57.124347,62.315459999999995,31.606708,87.598221,0.220002,2.1911669999999996,3.4684510000000004,3.8925525,36.993655,7.6546970000000005,14.505906,18.986373999999998,2.326491,23.943819,61.400884,12.856121,9.231001,40.298992,50.917338,18.529652,9.33902,30.648119,2.5171200000000002,6.4392,2.2392529999999997,20.271013,103.07349599999999,39.532296,2.627688,47.491283,29.752707,23.015598999999998,4.747715,162.040859,4.501625,8.920689999999999,1.834121,3.779037,32.792846000000004,11.146241,7.1765419999999995,5.398358999999999,139.95865600000002,7.705272999999999,7.198982000000001,9.289166999999999,15.237391,56.217608,23.881695999999998,5.340592,82.906152,2.6884259999999998,3.342719,7.012897,7.916094999999999,1.71367,85.366776,8.790902,4.929925,0.965822,19.456804,30.374109999999998,14.386189000000002,50.588333,1.196285,39.139154,15.314147,30.487499,2.8174330000000003,3.7827,7.561210000000001,8.451651,4.608814,7.165875,15.372806,3.169475,70.304744,6.1577150000000005,4.381307,4.958336,80.072337,16.367239,27.880794,11.439459,7.253852999999999,39.482696999999995,4.447955,7.753996000000001,17.233487,2.116661,5.453998,2.241108,18.233098000000002,20.471439,7.861714999999999,16.723639000000002,31.200139,51.813884,0.3342,3.8894370000000005,22.139882939252335,2.727696006173096
567.0,12.759617,3.3318589999999997,1.364535,6.597010000000001,75.605203,4.923366000000001,2.2605630000000003,219.922997,361.599919,21.614966,243.548151,0.9217989999999999,2.222196,1.8519560000000002,3.9195659999999997,61.470319999999994,12.284293,14.135629999999999,20.960529,3.935838,43.086847,64.635666,13.940788000000001,3.237291,28.884775,56.721532999999994,32.161658,4.625301,16.9171,2.175891,3.592714,6.770771000000001,9.113419,30.352146,12.649332000000001,4.809423000000001,35.016946999999995,24.765487,10.599656,2.149584,278.130491,3.1638669999999998,3.241097,3.641871,2.2472950000000003,22.933313000000002,15.695054999999998,9.001033,4.398714,178.66651000000002,9.19829,5.951535,24.946783,21.455663,9.963264,13.644719,4.1076239999999995,48.266309,6.3056779999999995,3.686378,3.269882,5.636238,4.43268,54.25204,36.836271,2.818261,5.301645,17.400826000000002,27.00295,32.496421999999995,46.569187,3.247088,30.24649,14.673329999999998,26.668815999999996,0.878469,7.759697,18.272862,6.338739,2.4475990000000003,6.807013,28.099171999999996,3.8069800000000003,26.564811,32.043323,7.654698,5.739172,176.63754,36.243763,40.494463,9.166749000000001,5.828476,15.897086999999999,4.654523999999999,12.077751,21.548576,3.182228,12.657119999999999,1.501032,26.618793,33.042477000000005,1.96068,26.359009000000004,22.291083999999998,59.188322,0.13465,1.424547,29.142576289719628,5.447870661859347
631.0,20.631357,9.673867,1.541868,10.09056,60.21656899999999,7.199725999999999,3.5222559999999996,195.289468,321.633479,19.502882,307.99512000000004,0.560307,3.547175,2.025081,4.0624554999999996,57.814165,11.866478,15.844001,37.536766,5.469061,47.088731,49.989909999999995,29.784078000000004,2.593557,34.138905,45.205754999999996,22.271141,3.773133,13.674016,2.336307,9.687776,16.870098000000002,9.607402,124.380095,9.446253,3.732743,42.395948,40.044195,19.404326,5.825067,231.39168999999998,6.7193320000000005,5.893608,1.8579259999999997,4.272945,38.90648,12.118176,9.997968,7.166027000000001,176.526305,14.919042000000001,4.965142,33.581532,32.021203,12.894519,26.345115999999997,6.952428,62.77584,4.355752,3.903607,4.00701,8.294667,1.9842520000000001,63.756710999999996,39.08721,1.137011,7.310449,14.757252,16.746617,58.448854000000004,36.404435,8.246533,28.929422,16.267429,22.077977,0.9577180000000001,9.924685,14.983699,8.785471000000001,4.774967,10.764828,30.390846000000003,4.554778,97.127379,23.67316,6.824317999999999,9.074402000000001,277.548236,37.070955,91.287761,7.600269,13.486579,20.379142,3.412482,10.271432,17.380642,4.9707930000000005,7.556360000000001,2.690355,18.944549,74.929973,4.248031,27.655039000000002,17.486446,98.19845,0.310971,2.736559,33.769101116822426,5.707670762497867
997.0,16.395797,4.6619589999999995,3.422032,9.210836,21.606579,5.558868,0.751384,47.748898,13.668685,5.614958000000001,73.651526,0.5423520000000001,3.575968,2.729441,6.3183255,44.533981,8.650762,13.162073000000001,4.9688669999999995,3.396501,3.5158739999999997,51.329584999999994,1.832259,15.421751,36.857717,39.005676,17.439063,4.641358,10.722333,6.982359,5.235932,3.587337,7.716347,44.297175,49.040719,5.391331,57.538712,7.239712,8.277024,8.895788,199.043882,6.805051,8.619588,0.118807,2.089487,15.199604999999998,7.03102,8.010332,5.173993,31.292465999999997,7.754904,5.742126,22.455095999999998,5.08176,58.58274599999999,11.452991,3.58425,134.759182,7.430439999999999,12.607321,7.240460000000001,11.239002000000001,1.795923,47.505115999999994,11.769323,12.74553,4.3732940000000005,14.757499,18.835456,45.64597,47.258511999999996,3.0034560000000003,23.674086,21.417134,41.632032,2.5040400000000003,3.8767989999999997,2.068235,2.743968,2.222684,11.651000999999999,17.444709,4.943169,95.206032,20.807863,9.089564,12.785819,30.636031,18.64957,12.022396,8.52636,4.353423,26.329014,4.1901839999999995,8.866028,16.97997,3.607397,7.358128,0.685924,10.295708,8.103328999999999,7.3647339999999994,18.41166,25.411635,17.266726000000002,1.054458,4.1695709999999995,18.32235339719626,2.5979928730327324
1302.0,16.023767000000003,6.2097739999999995,2.2269520000000003,10.976822,34.468882,6.815589999999999,1.397169,96.59884,92.48852099999999,9.726899000000001,159.404907,0.750688,4.15172,2.519741,7.814965,47.107853999999996,14.361218,9.955388000000001,10.337207000000001,4.6733769999999994,11.407862,53.277795,3.574954,23.284602,30.253391999999998,29.507801,16.917007,5.252511,11.326874,5.634440000000001,13.201652,8.371884,6.150397,39.406359,43.378528,3.6571010000000004,75.806855,12.885869999999999,12.066912,12.635724,178.321776,11.13777,11.167457,0.578967,2.528168,20.660978,10.989105,10.093492999999999,7.614477000000001,52.651436,14.318932,4.095815,26.751596999999997,8.330685,19.300544,18.938215,2.829916,174.174545,5.916188,9.020972,5.4370449999999995,14.646780999999999,2.832046,44.29045,24.883785999999997,10.514526,7.0965300000000004,11.505077,15.054858,58.376825,45.743207,4.135055,27.964605,23.558847,27.439867,2.4146349999999996,6.898052000000001,4.372242,3.7995160000000006,2.6164509999999996,20.915978,15.608264000000002,5.882492,180.141754,28.467252000000002,12.947714,19.847257,109.17893000000001,44.222613,26.956955999999998,9.9814,7.094457000000001,23.103895,3.780067,9.646767,19.774697,7.473578999999999,8.069332000000001,2.039876,11.629756,18.086553,5.5564860000000005,25.515639,19.69618,44.185719,1.395764,5.143167,24.068717588785045,3.4088056702979372
1727.0,16.586179,2.465121,2.880236,7.813281,32.062635,5.575476,2.1012720000000003,93.82440799999999,97.870388,31.778212,124.35586200000002,0.092206,2.216144,1.886712,3.5693740000000003,25.658153,6.906977,7.4637899999999995,17.086202,2.916386,16.716681,42.712571999999994,5.907184,11.071786999999999,22.590876,47.581432,25.195023000000003,3.232803,19.005435000000002,2.335632,2.480994,4.268041,9.58234,46.977081,25.398324,5.059125,33.378896999999995,17.912963,8.215244,3.503332,101.328878,4.0451440000000005,5.877244,0.890682,2.771366,28.223726,7.15422,5.611745,3.077297,80.018011,7.991123,5.709965,13.550729,11.667829,24.665344,10.488374,6.9968580000000005,63.256265,5.323875,3.649056,4.746007,7.220039,1.864152,82.181433,22.176167,3.935507,2.677495,24.104564,22.67588,18.021566,36.802856,2.686436,18.004509,12.192013000000001,34.112355,1.086982,4.2729610000000005,8.371566,5.738512999999999,1.4513969999999998,6.000808999999999,14.294623999999999,3.7885440000000004,31.855771,14.939518,5.460893,4.423435,112.72842800000001,22.968628,21.252024,9.437729,2.8397349999999997,16.577879,4.447955,8.258510000000001,13.767972,2.099095,7.854952000000001,1.347821,15.613102,19.677644,2.825697,15.148179999999998,28.333133,44.839395,0.591043,2.404588,18.491887971962615,2.384202189960177
3188.0,14.381364999999999,3.641668,2.217477,9.837406,53.992105,6.497952,1.042349,95.436286,115.201959,13.802052,382.860026,0.505523,1.7475880000000001,1.645613,3.8993569999999997,43.480742,8.081017,14.251357,16.070892999999998,3.044234,25.924039,47.123123,12.855825,11.094769,30.803459999999998,41.229225,16.138866,2.675025,16.082201,3.212595,4.400503,6.421227,7.76425,40.215359,42.357690000000005,2.898063,35.254342,27.071493,8.359982,3.7039410000000004,224.80066000000002,5.219494999999999,4.791908,0.910407,2.406042,27.328333,14.681244,7.451239,5.247249,81.237863,9.338579,4.919444,26.977024,10.041400999999999,15.618385,13.967292,3.817824,132.104423,4.591113,6.3699330000000005,3.6224339999999997,7.792851,2.264513,60.782017,24.003514000000003,8.568996,4.061177,18.070352,16.700456,49.777743,48.672854,2.682251,20.847796,18.143538,29.453483000000002,1.117525,5.1532919999999995,7.918176,5.027732,2.49795,9.089516999999999,45.064219,4.731976,66.393947,43.436859999999996,6.737767,6.764844999999999,134.401978,19.570992,25.702847,8.726041,3.9320180000000002,17.710972,3.6615910000000005,8.98523,17.374809,3.156935,9.353099,0.8657870000000001,14.529004999999998,41.008648,3.208996,16.571904999999997,34.2448,53.662151,0.522068,4.072861,25.417601112149534,4.5694765404328255
3278.0,13.464614000000001,8.354801,1.197386,7.122782000000001,54.955583999999995,7.337846000000001,1.983772,208.141685,435.978691,20.064534,215.743039,0.643927,0.614643,1.4743700000000002,3.2530375,27.1114,10.007605,21.601777,35.807177,5.841233,43.826184000000005,35.699427,12.027782,4.02349,25.841294,37.287529,21.577435,1.507231,17.446517,2.214094,11.722864999999999,11.224530999999999,6.07178,57.635017000000005,33.13738,3.240199,27.053019,36.215643,21.457670999999998,6.3791080000000004,97.498626,5.779758,4.299771,2.627638,5.540442,35.027778000000005,13.741261999999999,11.926808,6.368487,138.185725,17.398256,2.854071,28.944989,25.719132000000002,9.075754,19.628603,7.216216,88.535096,3.7705620000000004,2.76968,4.123872,9.112119999999999,3.577464,103.212601,27.465411,1.715314,13.059424,12.126292,20.811201999999998,38.621846000000005,38.255967,6.613677,31.742619,23.004642999999998,30.37112,0.730058,10.387018,18.789901,15.222619,4.920381,5.823876,21.019896,6.443389,67.462549,25.624299,5.970728,3.074592,275.69947,15.782551000000002,52.771482999999996,5.61763,7.21276,17.662266,3.8611459999999997,6.388803,17.517274,5.992044,10.450166000000001,5.094576999999999,16.692601,52.267709,1.8002599999999997,25.999737,18.011596,126.592295,0.301967,1.8136,30.280463238317758,5.631109805002535
4184.0,21.349175,6.587292,1.6889009999999998,10.25259,56.243348,7.36892,2.362108,135.285582,278.109241,16.733172,302.737109,0.495621,1.7642229999999999,1.677239,3.759779,32.997267,10.184596,11.032778,31.592399,4.776276,29.209106,42.113045,19.73886,5.475058,33.200181,37.147915000000005,21.927364999999998,2.463191,21.488912,2.388532,7.280419,8.653595,10.992575,77.011668,21.620306,3.588779,32.842576,32.460848999999996,14.232626999999999,4.803401999999999,129.92518700000002,5.477572,5.441854,1.991652,3.72934,38.079834999999996,12.690068,8.246064,6.04025,125.056652,13.480545000000001,4.401701,27.281689,22.607737,12.237515,16.278719,6.588749000000001,58.446344999999994,4.925421,3.6339879999999996,3.711336,7.292641000000001,2.625717,91.044764,31.96707,2.12339,8.447694,17.139628,19.924310000000002,44.664955,41.365995,5.8836379999999995,24.647375,16.614532,27.851121999999997,1.077056,8.2162,13.09412,10.91222,4.40685,7.214335,19.797751,5.0173559999999995,44.37048,24.240624,7.226535,5.765029,230.42636099999999,31.967640000000003,46.164121,7.704064,8.18448,19.981172,4.768875,7.412782000000001,18.466534,4.0124580000000005,10.044210000000001,1.7301819999999999,15.895562,52.880297,2.806833,29.718615000000003,22.121412,87.26108,0.29989,1.804531,27.78029235514019,4.695370177584638
5014.0,15.266378,8.490025,1.56015,12.836535000000001,56.138817,6.385823,1.62524,151.335799,185.096916,20.672643,393.675955,0.505523,2.897893,1.990938,4.8743870000000005,39.036456,10.156547,12.362568,33.661259,4.452411,36.055593,43.75134,14.980766000000001,6.4038699999999995,34.835855,37.334282,19.824149,3.447576,14.548561999999999,2.8520630000000002,8.817648,8.647984,11.230326,87.360786,25.44875,3.251722,55.341877000000004,34.61319,14.439820000000001,5.768344,160.058599,7.111517999999999,5.678904,1.444446,3.376232,38.079834999999996,13.674242000000001,7.218414,6.386566999999999,102.297172,11.908342999999999,4.608923,25.688546,15.844596,16.471892999999998,26.310201,5.886966999999999,114.706624,3.827539,5.366051000000001,4.049544,9.428269,2.166493,65.607262,33.543869,5.236775,6.399776,20.776099,16.746617,58.358224,37.017905,7.628245,24.829366,19.170524,24.362384,1.542258,7.065775,10.258429,11.194305,3.6633620000000002,10.02537,31.753203000000003,4.707126000000001,114.71663500000001,27.610153999999998,6.732249,9.830467,289.38284,31.095725,38.700731,6.877228,9.087448,16.573915,3.90981,8.683359,15.190309,4.062171,8.803578,1.1374959999999998,15.139735,48.395872,5.009772,25.721794,23.145982,109.222601,0.210373,2.897442,30.332628448598133,5.3008324774477655
