,Gene1,Gene2,ytest,ypredict
0,CTNNB1,ANXA1,8.67423,5.858576392700002
1,CTNNB1,ARHGEF1,4.9296107000000005,6.217971451400003
2,CTNNB1,ATP6V1B1,8.421464,6.310744272000001
3,CTNNB1,C1QBP,8.099536,6.427144180999999
4,CTNNB1,CAMK2B,6.962032300000001,4.563253401399997
5,CTNNB1,CD3G,8.120295,5.979795726999998
6,CTNNB1,CDC42,7.802554,6.5751280370000025
7,CTNNB1,CDH10,9.370838000000001,5.8939336894
8,CTNNB1,CENPI,6.1627293,6.589665921999996
9,CTNNB1,CEP78,5.2515388,4.3791876926999995
10,CTNNB1,CHST6,4.8581314,6.4657176870000015
11,CTNNB1,CNTN2,8.395928,5.381403014999995
12,CTNNB1,CTBP1,10.228819,6.6043615660000015
13,CTNNB1,DBNL,6.6819243,5.841749420000001
14,CTNNB1,DDX56,5.395929,6.2564742583
15,CTNNB1,DLG3,10.1413555,6.272990593999996
16,CTNNB1,DLGAP1,5.9068904,5.870687308399998
17,CTNNB1,DLGAP2,5.9068904,5.019742792399999
18,CTNNB1,EMILIN3,5.832214,6.382774197000001
19,CTNNB1,EP300,9.528379,6.459017186399998
20,CTNNB1,GABRA4,5.897901999999999,5.9974098502999995
21,CTNNB1,GAP43,6.549339,6.101766640999997
22,CTNNB1,GPX2,6.0790714999999995,5.893801135
23,CTNNB1,GRB14,5.091827400000001,6.301405804
24,CTNNB1,GRIN2A,6.8889685,6.539807241999999
25,CTNNB1,HLA-DRB1,5.0588937000000005,6.119865281999998
26,CTNNB1,HSD11B2,5.617794,6.349773536799996
27,CTNNB1,IL17RA,5.437656,6.4746276420000015
28,CTNNB1,KCNA2,8.584963,5.980281361999999
29,CTNNB1,KCNG1,5.6857866999999995,6.629226752999999
30,CTNNB1,KDM4B,5.4150376,7.362167522
31,CTNNB1,KLF9,7.802554,6.231525319999998
32,CTNNB1,KRTAP19-7,5.769387200000001,3.3737557793000024
33,CTNNB1,LRRC7,7.4474587,5.586030918799996
34,CTNNB1,MAP2,6.971431,6.182731189000001
35,CTNNB1,MAPT,7.769387200000001,4.912240600599998
36,CTNNB1,MTR,6.0790714999999995,6.481622012000002
37,CTNNB1,MYH7B,6.4474587,6.122390108999998
38,CTNNB1,NAA38,4.4556794,5.924595825999997
39,CTNNB1,NAPA,6.971431,6.485963811399999
40,CTNNB1,NRGN,6.2630343,5.943918226000001
41,CTNNB1,OGG1,7.251538799999999,6.067441501000002
42,CTNNB1,PANK4,4.8581314,6.214708675999999
43,CTNNB1,PBRM1,5.884523000000001,5.907182746799999
44,CTNNB1,PCDH12,5.798366000000001,6.620326610000001
45,CTNNB1,PEBP1,6.802554,5.734712753999998
46,CTNNB1,PICALM,8.980891,5.532501328399999
47,CTNNB1,PLCH1,5.5111422999999995,5.923010334
48,CTNNB1,POLR2I,7.473931299999999,6.195525354999997
49,CTNNB1,PPP2R1A,10.643856,6.471220346000003
50,CTNNB1,PRKAR2B,5.934198,6.430966400000001
51,CTNNB1,PRX,7.263034299999999,7.154063695000001
52,CTNNB1,PURA,7.906890400000001,6.237219615999999
53,CTNNB1,RAB21,6.8889685,6.595622143000005
54,CTNNB1,RAB5A,6.971431,6.287930164000001
55,CTNNB1,RGS22,3.9785202000000006,5.655053152000001
56,CTNNB1,RNF20,8.943417,6.374257537999999
57,CTNNB1,RPS18,5.9068904,6.484265777000001
58,CTNNB1,RTN4,9.705256,6.084825366699997
59,CTNNB1,SCN2A,8.556394000000001,5.197746874999998
60,CTNNB1,SEC62,3.3825448,6.468750299999999
61,CTNNB1,SEMA6C,6.8889685,6.066709019999998
62,CTNNB1,SLAMF1,7.1627293000000005,5.978150362399998
63,CTNNB1,SLC6A17,5.295128,5.940773682699999
64,CTNNB1,SMG1,7.8889685,6.2967763319999985
65,CTNNB1,SPTBN1,6.7612133000000005,5.594608329999999
66,CTNNB1,SPTBN2,6.971431,5.1737894733999985
67,CTNNB1,SV2B,5.295128,5.7550478359999975
68,CTNNB1,SYNGR3,7.689660000000001,6.1548861972
69,CTNNB1,SYNJ1,6.971431,6.461986283999997
70,CTNNB1,SYP,8.099536,6.1862641080000005
71,CTNNB1,SYT7,7.819428,6.275297273999997
72,CTNNB1,TBC1D15,3.786912,6.366283374
73,CTNNB1,TMX2,3.3630855000000004,6.612479469000004
74,CTNNB1,TRIM27,9.019364999999999,5.9149969680000005
75,CTNNB1,UBE2M,8.500898,6.391928420000002
76,CTNNB1,UBE2Q1,6.5423183,6.6761790229999995
77,CTNNB1,WDR7,5.295128,6.325423737999997
78,CTNNB1,ZFP62,3.5094300000000005,6.708025177999994
79,CTNNB1,ZNF644,3.5094300000000005,6.179060971
80,RIMBP2,ANXA1,5.450742,4.174710516499999
81,RIMBP2,ARHGEF1,3.944573,4.252269933800002
82,RIMBP2,ATP6V1B1,4.0279202000000005,3.7959280729
83,RIMBP2,C1QBP,4.0279202000000005,3.5837778627
84,RIMBP2,CAMK2B,4.7776074,4.354337732099999
85,RIMBP2,CD3G,1.7923673,3.2009098722
86,RIMBP2,CDC42,4.0279202000000005,3.6217941486999985
87,RIMBP2,CDH10,4.0279202000000005,3.722136994400001
88,RIMBP2,CENPI,0.28639582,3.008032445999998
89,RIMBP2,CEP78,0.8414745000000001,4.355315317700001
90,RIMBP2,CHST6,1.0244004,3.6690888196000007
91,RIMBP2,CNTN2,4.7776074,4.122316864699998
92,RIMBP2,CTBP1,4.0279202000000005,3.659662083499998
93,RIMBP2,DBNL,4.0279202000000005,4.638956481399999
94,RIMBP2,DDX56,1.0244004,3.672468099799999
95,RIMBP2,DLG3,7.599462,4.219126158
96,RIMBP2,DLGAP1,4.7776074,5.041442654199999
97,RIMBP2,DLGAP2,4.7776074,4.561910181899999
98,RIMBP2,EMILIN3,0.74966997,3.733567134199999
99,RIMBP2,EP300,2.9474682999999997,5.194401242999998
100,RIMBP2,GABRA4,4.7776074,3.661094340499998
101,RIMBP2,GAP43,4.0279202000000005,3.357438161699999
102,RIMBP2,GPX2,0.8552738000000001,3.4400292878
103,RIMBP2,GRB14,2.0461139999999998,3.8521487619999992
104,RIMBP2,GRIN2A,4.7776074,4.7141397523
105,RIMBP2,HLA-DRB1,1.7923673,3.5339911091
106,RIMBP2,HSD11B2,1.0244004,3.8118594477000003
107,RIMBP2,IL17RA,1.7923673,3.721677660100002
108,RIMBP2,KCNA2,4.0279202000000005,4.011803613499999
109,RIMBP2,KCNG1,2.5894779999999997,4.2213357303
110,RIMBP2,KDM4B,0.8552738000000001,5.066967350699998
111,RIMBP2,KLF9,2.0461139999999998,2.7626860980999997
112,RIMBP2,KRTAP19-7,0.28639582,2.012238671700001
113,RIMBP2,LRRC7,4.0279202000000005,3.7858530097
114,RIMBP2,MAP2,5.450742,4.269244047999999
115,RIMBP2,MAPT,5.1520033,5.180500361999999
116,RIMBP2,MTR,0.8552738000000001,4.209356886099999
117,RIMBP2,MYH7B,1.0244004,4.4865016743999995
118,RIMBP2,NAA38,2.0461139999999998,4.408248654399999
119,RIMBP2,NAPA,4.7776074,3.721313756399998
120,RIMBP2,NRGN,4.7776074,4.0023112585
121,RIMBP2,OGG1,2.9474682999999997,3.6859414364000003
122,RIMBP2,PANK4,2.57687,3.3932732076999996
123,RIMBP2,PBRM1,2.0461139999999998,5.168040616799998
124,RIMBP2,PCDH12,3.8967822,3.5028126728000006
125,RIMBP2,PEBP1,5.450742,3.435897591199999
126,RIMBP2,PICALM,5.450742,4.622592126999999
127,RIMBP2,PLCH1,2.57687,2.829551898799999
128,RIMBP2,POLR2I,2.717066,4.4832019054
129,RIMBP2,PPP2R1A,6.845114,3.7557479443999995
130,RIMBP2,PRKAR2B,5.1520033,3.0243432539999997
131,RIMBP2,PRX,3.8967822,3.1300074998999996
132,RIMBP2,PURA,4.0279202000000005,3.5899997710000013
133,RIMBP2,RAB21,4.0279202000000005,3.7479656154999996
134,RIMBP2,RAB5A,4.7776074,3.7685101099000002
135,RIMBP2,RGS22,2.0461139999999998,3.6841206431
136,RIMBP2,RNF20,2.9474682999999997,4.2135068122
137,RIMBP2,RPS18,4.0279202000000005,3.4632762900000014
138,RIMBP2,RTN4,4.0279202000000005,3.8902891838999993
139,RIMBP2,SCN2A,4.0279202000000005,4.405681584699999
140,RIMBP2,SEC62,1.0244004,3.8184231321
141,RIMBP2,SEMA6C,2.0461139999999998,3.4604126365999996
142,RIMBP2,SLAMF1,3.4722623999999995,3.9006997789
143,RIMBP2,SLC6A17,4.0279202000000005,3.881765304399998
144,RIMBP2,SMG1,2.717066,5.109730456
145,RIMBP2,SPTBN1,4.0279202000000005,4.529261057299998
146,RIMBP2,SPTBN2,4.0279202000000005,4.1637303307
147,RIMBP2,SV2B,4.7776074,3.7439278372000007
148,RIMBP2,SYNGR3,4.0279202000000005,4.706776236199999
149,RIMBP2,SYNJ1,5.349235500000001,4.179225441199999
150,RIMBP2,SYP,4.7776074,4.0003815431
151,RIMBP2,SYT7,4.7776074,3.7595665154
152,RIMBP2,TBC1D15,3.944573,3.4310004673000027
153,RIMBP2,TMX2,1.0244004,3.3923317872999985
154,RIMBP2,TRIM27,5.1520033,4.693822192299999
155,RIMBP2,UBE2M,0.8552738000000001,3.6556711274999985
156,RIMBP2,UBE2Q1,3.5493386,3.7249571625999995
157,RIMBP2,WDR7,4.0279202000000005,4.1433277195999985
158,RIMBP2,ZFP62,1.6509179,4.010241788199999
159,RIMBP2,ZNF644,1.6509179,4.2951291005000005
160,PPFIA4,ANXA1,7.2980814,4.503996911999996
161,PPFIA4,ARHGEF1,1.9236118999999998,3.3506098509
162,PPFIA4,ATP6V1B1,5.295128,4.349219402399999
163,PPFIA4,C1QBP,8.099536,4.024429094300001
164,PPFIA4,CAMK2B,4.7776074,4.790485965699998
165,PPFIA4,CD3G,4.46229,3.517225607399999
166,PPFIA4,CDC42,4.355375,4.1589511224
167,PPFIA4,CDH10,8.099536,3.7804297406000003
168,PPFIA4,CENPI,1.9236118999999998,3.420878485799999
169,PPFIA4,CEP78,2.733963,4.067513904399999
170,PPFIA4,CHST6,0.99415094,3.986740497199999
171,PPFIA4,CNTN2,4.7776074,4.247886487399998
172,PPFIA4,CTBP1,8.099536,3.833231873100001
173,PPFIA4,DBNL,4.355375,4.842254109100001
