,Gene1,Gene2,ytest,ypredict
0,CTNNB1,ADAM22,7.2863039999999994,6.237712811399998
1,CTNNB1,ADAM23,6.8889685,6.1343128382
2,CTNNB1,ALG13,5.819428,4.276788991999998
3,CTNNB1,ANKZF1,6.0790714999999995,5.101998067999998
4,CTNNB1,APOE,6.8889685,6.752248580000001
5,CTNNB1,AQP7,5.411835,5.79286339
6,CTNNB1,ATP1A2,8.556394000000001,6.706412961999999
7,CTNNB1,BBS9,5.815191,6.368208244999998
8,CTNNB1,BCAN,8.162728999999999,6.2553371955
9,CTNNB1,BMF,5.599462,6.469395787000003
10,CTNNB1,BSN,10.228819,6.186911004999998
11,CTNNB1,CADPS,6.971431,5.425421198999996
12,CTNNB1,CAMK2A,9.019364999999999,6.189282357999999
13,CTNNB1,CD80,7.1627293000000005,5.969885502800001
14,CTNNB1,CTNNA2,10.228819,6.228108298
15,CTNNB1,CTPS2,4.8581314,6.483078322
16,CTNNB1,DBN1,7.019365299999999,7.3587643330000025
17,CTNNB1,DCLK1,6.962032300000001,5.633692873999999
18,CTNNB1,DLG2,6.4806256,4.981986023400001
19,CTNNB1,DNAJC5,6.971431,6.681152696000001
20,CTNNB1,EBNA1BP2,2.5854135,6.828642192
21,CTNNB1,EEF2,7.251538799999999,6.466531611999999
22,CTNNB1,ERC1,6.8889685,5.823870037999999
23,CTNNB1,ERG,4.0193653,6.086902229
24,CTNNB1,FABP1,8.906891,5.881444811199999
25,CTNNB1,FLOT1,11.228819,6.340727222999992
26,CTNNB1,GABRA1,5.897901999999999,6.133607521
27,CTNNB1,GIT1,6.971431,7.042907562000002
28,CTNNB1,GNB5,6.327952,6.417885241999998
29,CTNNB1,GPM6A,8.099536,5.728615617999999
30,CTNNB1,GRIA1,6.063912,6.4834294523999985
31,CTNNB1,GRM1,7.871267,6.374937648099998
32,CTNNB1,GRM7,8.099536,6.3283123196999975
33,CTNNB1,GSDMA,4.7714376,6.244230256000001
34,CTNNB1,HIPK1,9.769387,7.189517042999999
35,CTNNB1,HMGCS1,7.802554,6.247238904
36,CTNNB1,HPCA,6.549339,3.8781435747999975
37,CTNNB1,IFT81,5.2515388,6.606337108999994
38,CTNNB1,ITM2A,8.906891,5.631756056000001
39,CTNNB1,KCNAB2,8.980891,4.476773671299999
40,CTNNB1,LRRTM1,5.897901999999999,3.5219819193999973
41,CTNNB1,MAPK1,11.643856,6.606211039999996
42,CTNNB1,MAPK12,7.802554,6.073132956
43,CTNNB1,MAPK13,7.628906,6.2807127734
44,CTNNB1,MBD1,7.3461757,5.243744514999999
45,CTNNB1,MYO5A,10.1413555,6.219868528999999
46,CTNNB1,MZT1,5.823677,6.314404987999999
47,CTNNB1,NAPG,4.0279202000000005,6.714958493
48,CTNNB1,NFATC1,9.019364999999999,6.8343849359999975
49,CTNNB1,NLGN1,10.321928,6.087658453000001
50,CTNNB1,PDE7B,4.7776074,6.425490522000001
51,CTNNB1,PEX26,6.6819243,6.476019202
52,CTNNB1,PPARG,9.228819,5.896371815
53,CTNNB1,PPFIA4,8.099536,5.516417539999996
54,CTNNB1,PPIG,3.9667239999999997,6.9924062809999965
55,CTNNB1,PRKCG,7.9434166,5.847922584
56,CTNNB1,RAB15,5.295128,6.409361136000002
57,CTNNB1,RAB3A,8.099536,6.223047709
58,CTNNB1,RAB3GAP1,6.971431,6.714411548999997
59,CTNNB1,RAD50,8.556394000000001,6.558527223000003
60,CTNNB1,RSPH9,5.2921805,5.509667166999996
61,CTNNB1,RUSC2,3.1823769,5.957431488699999
62,CTNNB1,SHANK2,5.9068904,5.170160941399998
63,CTNNB1,SLC35A5,3.5214595999999996,6.361696161999999
64,CTNNB1,SLC43A1,3.5214595999999996,6.807595379000002
65,CTNNB1,SLCO3A1,3.5214595999999996,6.264823985100001
66,CTNNB1,SNAP91,6.971431,3.3786616694999987
67,CTNNB1,SOAT1,9.906891,6.4216348377
68,CTNNB1,STAB1,7.542318300000001,6.319169880999997
69,CTNNB1,STX1A,8.099536,6.083483338999998
70,CTNNB1,TLN2,6.340075499999999,5.814695319099999
71,CTNNB1,TMIGD2,6.962032300000001,5.9960028866999995
72,CTNNB1,TMTC1,5.819428,6.748664507000002
73,CTNNB1,TUBB2B,7.871267,6.241360944999999
