Age,ABCA7,ACY1,ADAMTS18,ADCY3,ADORA3,AMT,ARHGAP5,ATP8A1,AUTS2,CACNA2D1,CACNB2,CADM1,CAMK4,CAPN12,CC2D1A,CCNG1,CD276,CDH13,CELF6,CEP41,CNR2,CREBBP,CSNK1D,CSNK1E,CYFIP1,CYP11B1,DAPP1,DIXDC1,DLX1,DMXL2,DOCK10,DOCK8,DPYSL3,DST,DYDC1,DYDC2,EGR2,ELAVL3,EPC2,FBXO33,FHIT,GPD2,GRIA1,GRIK5,GRIN1,HS3ST5,HTR7,IL17RA,IL1RAPL2,ITGA4,KCNJ15,KCNQ3,KCNS3,KIAA1586,KIF14,KLC2,LAMC3,LZTS2,MBD6,MEGF11,MYO16,MYO5A,MYO9B,NCKAP1,NCKAP5,NEO1,NPAS2,OR2M4,OTUD7A,PAX5,PCDHGA11,PDE4A,PDZD4,PLCD1,PLN,POMT1,PPP2R1B,PRICKLE2,PRKCB,PTK7,PYHIN1,RAB43,RASD1,RPL10,SBF1,SET,SLC25A14,SLC30A5,SLC35A3,SLC7A3,SLC7A7,SLC9A9,SLCO1B3,SMAD4,SNX5,ST7,STK39,SYAP1,TPO,TRAPPC9,UBE3B,VDR,VIP,WDFY4,ZMYND11,ZNF292,ZNF713,ZNF774,mean,stderr
56.0,1.0866209999999998,0.263876,1.0499120000000002,4.221577,0.849043,2.475453,18.615559,4.858032,27.197627,12.057276,0.9867020000000001,42.554065,11.754903,0.022137,2.497414,28.457399,24.036886,2.40088,0.076148,8.466785,0.016058000000000003,9.439661,23.914070000000002,56.240705000000005,20.197235,0.031129,0.15826700000000002,21.919884,1.557341,6.358137,0.642508,0.45805200000000007,179.02573999999998,7.022069,0.300849,1.30166,0.775307,33.421908,12.504551,4.4763589999999995,0.9062020000000001,14.390457000000001,36.705709999999996,19.995472,2.522972,1.06654,0.230879,1.687804,0.10015800000000001,0.981899,0.033094,26.297194,1.488162,9.363661,2.827704,14.252398000000001,3.292096,11.800239999999999,3.2597400000000003,0.537623,1.921425,13.733113000000001,5.430198000000001,70.033752,3.185439,15.427342000000001,0.551655,0.12072100000000001,1.901821,0.067134,2.524644,1.9488159999999999,72.531231,5.452154,0.217165,6.493505,4.325211,1.364478,5.571585,17.231568,0.010528000000000001,0.44055500000000003,7.159927000000001,387.883801,45.799474,155.825197,4.814741000000001,4.690836,3.0456790000000002,5.84054,1.281766,1.46201,0.013259,24.955845999999998,11.247208,7.869144,17.370555,5.016482,0.018637,15.666988,6.939355,0.081308,0.139244,0.37887,22.763385,17.541718,0.527745,0.9358110000000001,15.788734777777778,4.21715365137151
63.0,1.215816,0.441738,1.230577,4.395875,0.428461,2.144577,20.970412,6.096072,60.436239,7.342753,1.173159,25.915417,5.982768,0.060063,3.9756449999999997,32.577797,17.318532,3.3484589999999996,0.0969235,4.444736,0.012598,33.097489,12.226727,72.954426,16.811518,0.015258,0.089249,14.888003,2.083412,7.182001,0.497532,0.357104,239.58223700000002,20.995375,0.271764,0.936177,0.160388,92.413661,14.080411999999999,3.453879,0.791094,19.468092000000002,34.762381,32.382284999999996,4.057891000000001,1.131961,0.016587,0.969558,0.510108,0.47202200000000005,0.043207999999999996,25.478361,0.577799,12.670599000000001,4.094681,13.016415,1.063741,7.577357000000001,10.528707,0.973067,2.141696,14.429054999999998,19.649829,25.184497,5.596577,46.906171,0.413595,0.08326599999999999,1.266738,0.016184,2.700455,2.1977330000000004,83.444824,8.190261999999999,0.494918,7.249982000000001,2.406919,2.3107439999999997,3.684039,11.15754,0.05217,0.27481500000000003,3.268262,268.33247,40.507832,119.91418999999999,3.622361,3.185111,2.72939,12.825130999999999,0.770365,1.056876,0.029546999999999997,16.598851999999997,12.184675,7.115253,22.215360999999998,4.332689,0.094314,18.574374,3.988175,0.009136,0.075449,0.204094,21.789478,23.47056,2.72207,0.981915,16.04389891203704,3.656512407515746
84.0,1.233091,0.17951799999999998,0.29431233333333334,4.872286333333333,1.1583303333333335,0.6621753333333333,12.997538999999998,24.403088666666665,95.42303500000001,16.161277666666667,2.2732046666666665,42.656517666666666,19.470674,0.02469033333333333,4.874123333333333,19.260416333333335,17.505951,8.989648333333333,0.08953616666666667,6.739782333333333,0.028064333333333333,21.490733333333335,17.89498566666667,84.07412,7.967209666666666,0.036557666666666676,0.055922666666666676,15.745949333333334,6.605648666666667,10.737228000000002,1.328794,0.6732589999999999,380.3726766666667,16.39068233333333,0.2586273333333333,1.162458,0.265843,130.113289,19.11064633333333,5.925956666666667,0.45426133333333335,29.863879,51.387162666666676,48.225527666666665,20.672376333333332,4.792480333333333,1.1698196666666667,1.0705246666666666,5.138283,0.5913056666666667,0.028912666666666666,25.898098333333333,1.2216486666666666,15.295044666666664,0.5576953333333333,17.025197666666667,1.616710333333333,5.7151016666666665,4.377158333333333,3.248713666666667,6.2819303333333325,36.06286166666667,4.570160333333333,34.34541133333333,3.9172239999999996,50.64733433333333,1.3132996666666668,0.206561,2.565244,0.021533999999999998,5.737570000000001,4.833427333333333,117.83337633333333,2.4860583333333337,0.150505,9.491747666666667,6.673509666666667,14.643654333333332,8.683445,5.350072333333332,0.027582333333333334,0.35112000000000004,6.360565000000001,252.87214666666668,42.02607666666666,111.15801366666665,6.136696000000001,4.598527,4.770424666666667,1.179364,1.0136766666666668,1.1891313333333333,0.03205533333333334,11.533541333333332,2.8126329999999995,10.228380999999999,6.975262333333333,4.694622666666667,0.085563,15.087571333333331,5.324646,0.025355,0.33058666666666664,0.4149053333333333,35.72443166666667,19.829242999999998,1.8932663333333333,1.4850633333333334,19.461417862654326,4.6125873588197805
91.0,1.4386150000000002,0.2766466666666667,0.20455466666666666,3.7866816666666665,0.7180466666666666,1.0327463333333335,11.192323333333334,21.180704000000002,95.80274733333333,16.317613666666663,2.0510099999999998,37.463710999999996,12.562472666666666,0.016246,5.655492,21.842353000000003,16.013818333333333,6.232385666666667,0.08994133333333333,7.205796,0.021588999999999997,23.798978666666667,17.164735,86.370812,8.240581666666667,0.030659000000000002,0.12679733333333332,12.758684,5.352129333333333,9.039741666666666,1.4084486666666667,0.45914866666666665,358.17033633333335,21.205652666666666,0.235777,1.581967,0.20726499999999995,132.56862700000002,21.256404666666665,4.389701,0.649335,23.990604333333334,33.94717666666667,48.48752466666667,23.302061666666663,6.900143333333333,1.2536786666666666,0.9037496666666667,3.4256653333333333,0.36932366666666666,0.06506200000000001,19.868192666666666,0.822091,13.340914666666668,0.4483783333333333,18.281261333333333,1.1549466666666668,5.969390999999999,4.462171333333333,2.8442640000000003,8.128515333333333,30.90797033333334,5.327210666666667,32.34620433333333,3.920981,39.92460433333334,1.5380546666666666,0.10137800000000001,2.357058,0.010885666666666667,5.382888,5.231004666666666,119.743765,2.3599823333333334,0.13585166666666668,10.417626666666665,5.782044333333334,14.157670666666666,6.724726333333334,5.393553999999999,0.053631000000000005,0.34102366666666667,6.805809,252.54113166666664,36.72792833333333,108.35891833333334,7.055812,4.382760666666666,4.7480590000000005,1.2110816666666666,0.8005383333333334,0.7735856666666666,0.052493666666666675,11.761041666666666,3.2297816666666663,11.739508999999998,8.218465333333333,4.94835,0.05622900000000001,17.62828633333333,5.011174333333334,0.03695466666666667,0.30534333333333336,0.25609533333333334,33.78661966666667,18.13792033333333,2.632857,1.4945943333333336,18.693943037037037,4.454191924015724
112.0,0.5564606666666667,0.21299100000000004,0.129864,4.441144333333334,0.4425933333333334,1.3971303333333331,11.634920333333332,11.662593000000001,67.40913766666667,36.16468266666667,1.8564276666666666,26.884484333333333,11.526546000000002,0.029434333333333337,7.520567,19.893383,16.298485333333332,5.565565666666667,0.04369533333333333,5.811784666666667,0.017763666666666664,20.062467333333334,17.806915,77.79358666666667,10.971871666666667,0.016661333333333334,0.06754533333333333,12.078614333333334,10.215558333333334,10.463046333333333,1.1530916666666666,0.29823133333333335,376.42292799999996,17.098106666666666,0.074032,1.7283229999999998,0.6599683333333334,119.77727833333334,23.47977,3.6346183333333335,0.36846766666666664,21.164858666666664,46.68827433333333,28.724030333333328,19.638742333333333,9.687103666666667,0.7792683333333333,0.866565,0.754846,0.6346550000000001,0.023888333333333334,17.316626333333335,0.7346006666666666,9.879558666666666,0.8771946666666667,14.183800333333332,1.940372,6.272618333333334,3.903188333333333,4.209582666666667,14.676242333333334,30.36030033333334,7.605297,28.684384000000005,3.790737666666667,55.07377966666667,1.0994696666666666,0.11292333333333333,1.858397,0.025295666666666664,4.176041333333333,2.6515703333333334,134.41212466666667,2.225623666666667,0.17513666666666663,10.861888666666667,4.895618666666667,8.090862999999999,7.935368333333334,5.972775000000001,0.022111333333333334,0.21807633333333332,12.627275333333335,248.39670499999997,42.76425066666667,108.58522733333332,6.375962666666666,4.631295000000001,3.650308333333333,1.4838106666666666,0.565596,0.9186973333333333,0.0284895,12.041531999999998,3.799076666666666,9.483944666666666,7.924423333333334,5.230719333333334,0.015959,14.486558,4.849996,0.015282333333333334,0.6827960000000001,0.15263933333333335,38.687783,18.726461999999998,1.565341,1.2415306666666668,18.479686998456792,4.525815513652467
119.0,0.409948,0.261387,0.106459,5.962575,0.158525,2.345296,9.678652,14.016078,68.952931,38.63944,1.893256,15.403888,12.491501,0.005151,9.455561999999999,18.930413,15.406626999999999,7.519406,0.08943799999999999,4.8415300000000006,0.027474000000000002,20.081191,16.316215,74.68666,11.129439,0.013802000000000002,0.027892,12.013938000000001,16.876851000000002,9.571894,1.0378399999999999,0.122796,509.98402400000003,22.322031,0.12118599999999999,1.5970229999999999,0.062198,115.467145,26.123588,4.3425839999999996,0.486146,14.452888,66.570219,36.526984999999996,34.861833000000004,11.075954,2.027445,0.8984979999999999,2.29929,0.606532,0.007331,20.249222,0.8967809999999999,9.468509,0.5100859999999999,15.478283,0.5191859999999999,6.158374,2.536315,2.631845,20.025356,33.480915,8.289086,28.099107,3.2320729999999998,82.60818499999999,1.518942,0.069283,1.9913560000000001,0.033957,3.557347,3.780289,162.745714,1.534345,0.15826199999999999,15.624429000000001,2.891388,11.186528,11.014225,3.6022849999999997,0.031426,0.267002,20.88505,190.949409,48.722331,95.568725,7.509086999999999,4.409929,4.343509,1.9547259999999997,0.602093,0.503293,0.0368405,10.189214999999999,3.414106,8.627123,4.44704,5.362019999999999,0.038441,12.419518,5.1959610000000005,0.012258,2.2800849999999997,0.06828300000000001,46.835288,12.887367999999999,2.494424,1.9009909999999999,20.223649717592597,5.3800815955860815
133.0,0.433533,0.365759,0.05124600000000001,3.7730639999999998,0.41401099999999996,2.1671650000000002,9.331004,11.942965,57.588818,35.062443,1.860883,13.236937,18.090163,0.030305000000000002,10.026996,19.208794,14.027039000000002,8.732334,0.029135,4.188716,0.042254,17.355604999999997,18.494993,74.900284,11.214159,0.01029,0.020363,9.090964,21.106885000000002,8.743098,0.903479,0.072603,405.564571,23.670059,0.078814,3.037693,0.043617,93.203529,24.515871,4.117622,0.7197319999999999,14.904254000000002,57.595124,36.363906,31.217321999999996,8.312283,1.7275080000000003,0.647626,1.219454,0.50188,0.053911,16.086782,0.722773,7.4852669999999994,0.399438,14.842704999999999,0.5812470000000001,6.627319,2.600005,2.129816,19.796153,29.801166,8.599399,31.243878999999996,1.955672,58.230376,1.406917,0.056353,1.855405,0.032968,2.713161,2.9336900000000004,169.403652,1.609215,0.158903,23.077995,3.3333690000000002,11.305893,8.229754,3.122562,0.023962999999999998,0.190127,12.192852,262.14020800000003,41.184818,99.215655,7.341203,4.175678,3.890015,1.5763850000000001,0.412713,0.47139200000000003,0.0319775,11.421763,4.3733059999999995,10.431111999999999,4.652258,5.947531,0.016782,10.67892,4.039638,0.05095,2.0588330000000004,0.102113,37.872372999999996,11.963956,1.982309,1.9639060000000002,18.988478087962964,4.812930520505749
147.0,0.347032,0.3186715,0.1996015,4.7769200000000005,0.239626,2.6768785,9.6859085,19.238012,59.686662,48.39089800000001,2.5040050000000003,17.433965,18.2284215,0.016822499999999997,12.6658005,15.828102999999999,12.0911665,12.062404,0.09866925,3.932706,0.012251,18.7834405,15.366252,71.17500949999999,9.737907,0.0334245,0.085435,11.761901,15.566723,10.426845499999999,1.0209855,0.11898,491.005133,26.581121500000002,0.1025335,2.217289,0.152994,116.4491335,21.854986500000003,3.3795,0.601271,17.697923,76.6409865,36.757124499999996,50.189566,10.9859845,4.392549,0.923441,3.3482965,0.9073530000000001,0.010748,29.576566999999997,0.8672040000000001,9.0921325,0.24839,17.4162845,0.786249,5.100179,3.647578,1.8870484999999997,31.455840499999997,43.468365,9.530611500000001,23.135103,2.4742705000000003,94.9556735,2.1939395,0.18664750000000002,1.8328615,0.0296475,3.7303045,7.096125999999999,176.480395,1.402258,0.201086,15.620826000000001,2.3643264999999998,13.088516,25.8136675,2.816748,0.038124500000000006,0.17100300000000002,12.2844205,152.874801,36.549268,93.7973915,7.711451,4.106218,4.1689665,2.1160854999999996,0.45562600000000003,0.747025,0.03215175000000001,7.6377125,3.7451445,7.141739,5.684445,4.8478025,0.0340245,10.03287,4.1459495,0.0197105,2.8812204999999995,0.08618100000000001,55.090715,13.573870500000002,1.760134,1.675882,20.542760564814813,5.196713467844348
154.0,0.18448499999999998,0.091956,0.11338800000000002,4.823821,0.332573,1.378875,11.679503,18.976447,44.508571,70.092286,2.407002,19.301137,18.923366,0.048757999999999996,7.57788,19.927506,11.577372,14.93241,0.035524,6.001019,0.010813,17.468864,17.705284,64.431687,12.879433,0.012527,0.140279,14.354318,15.028204,9.817474,0.737712,0.412731,516.9786780000001,12.789325,0.067732,2.442603,1.195649,104.593987,20.202931,3.6620559999999998,0.767862,22.643072,55.671714,29.671837,29.381669,11.099292,2.208498,0.831209,1.680853,1.2723209999999998,0.167985,18.248319,0.867907,7.887383,0.10566400000000001,14.356770000000001,2.269364,3.886199,3.328125,1.7376009999999997,40.253112,36.636327,3.424467,29.491746999999997,1.7419330000000002,91.417473,1.555964,0.039154,1.736938,0.020092,4.442788,4.8638650000000005,125.775447,1.824097,0.395947,11.828177,2.022105,12.853753999999999,24.335025,3.6235480000000004,0.042739,0.155281,13.448768,219.497079,33.18653,105.78050400000001,6.486815,4.459578,4.095683999999999,1.746127,0.622448,0.886503,0.018655500000000002,11.492142,3.6283589999999997,10.297003,6.551508,6.657844,0.018543,12.310536,5.104051999999999,0.018065,2.515674,0.190181,50.597087,12.670247,1.294683,1.525488,20.273239754629635,5.436853654763579
245.0,0.730236,0.629179,0.137804,1.1566040000000002,0.044955,3.9260339999999996,18.175806,12.338889,11.373408,10.799101,1.9525869999999999,12.214583,18.043788,0.084516,26.212087,15.297048,6.595919,8.072041,0.0253875,1.231542,0.033968,10.962933999999999,15.282380999999999,52.595792,21.93831,0.019173,0.060285000000000005,4.067404,6.387154,5.5851489999999995,1.505487,0.099018,137.27467,74.179946,0.087198,0.8826219999999999,3.092086,44.226617,8.520024000000001,2.221012,1.418723,17.340069,69.762716,22.837192,33.849092,0.7201850000000001,1.032134,1.9775459999999998,0.180943,0.21379299999999998,0.17136099999999999,18.547353,0.9609540000000001,4.8342410000000005,0.76346,8.098028999999999,0.977571,11.301051,7.268994999999999,0.7535310000000001,8.24347,15.662235,10.341795,24.972914000000003,1.754991,25.339586999999998,4.492298,0.1017,2.456693,0.006561,1.298651,4.979023000000001,118.896906,6.750649,0.10265,16.747284,2.645731,7.541272,32.800593,5.157507,0.07062,0.16838499999999998,3.285443,265.57410600000003,18.126897,70.32190600000001,3.263829,4.88034,4.152615,0.9048889999999999,0.600492,2.3441259999999997,0.0718005,12.377400999999999,20.41305,7.755474,8.444427000000001,8.697263000000001,0.011856,2.785686,5.956208999999999,0.013175,1.343661,0.168951,43.975241,6.547779,1.489675,1.409181,14.134432138888892,3.1155649647089683
