,Gene1,Gene2,ytest,ypredict
0,CTNNB1,ABCG1,5.2120104000000005,6.624252797
1,CTNNB1,ABI1,6.658963000000001,6.597904416
2,CTNNB1,ACSS2,4.8581314,6.236375372999995
3,CTNNB1,ACVR1B,7.980891000000001,6.162941193
4,CTNNB1,ADI1,3.4490992999999994,6.050368150999999
5,CTNNB1,ADRA1B,7.8889685,5.903799358999999
6,CTNNB1,AKT1S1,6.5423183,6.818250263999997
7,CTNNB1,AMPH,6.6363616,6.506782664000003
8,CTNNB1,AP4S1,4.0193653,6.485986903999998
9,CTNNB1,ATP6V0D1,5.6703978,6.382329219999995
10,CTNNB1,BCL2L11,8.705256,4.376297454399999
11,CTNNB1,CACNG3,7.871267,6.130991543999995
12,CTNNB1,CCDC40,8.058894,6.344211525999997
13,CTNNB1,CCNJ,4.9273224,6.338225833
14,CTNNB1,CENPM,4.6067667000000005,6.069938969000001
15,CTNNB1,CNOT7,5.966724,6.3590833544
16,CTNNB1,CNTNAP1,8.099536,7.048544084
17,CTNNB1,CSPG5,8.162728999999999,6.577516107999998
18,CTNNB1,CSTB,4.268816999999999,5.568520853999998
19,CTNNB1,CTNND2,7.4474587,6.481641122700004
20,CTNNB1,DCAF5,4.5475802000000005,6.311976282999998
21,CTNNB1,DNM2,10.1413555,5.865375717999997
22,CTNNB1,EML2,6.689660000000001,4.913097371700001
23,CTNNB1,ESYT1,6.8624964,6.704332175999998
24,CTNNB1,EXOC4,7.8537793,6.511485519400002
25,CTNNB1,FAM53B,6.1307864,6.1760994009999965
26,CTNNB1,FKBP8,9.370838000000001,6.478351300000002
27,CTNNB1,GPT2,3.8923120000000004,6.368205833999995
28,CTNNB1,GRIA4,5.897901999999999,6.929832080000004
29,CTNNB1,GRIN2B,7.769387200000001,6.0749849967
30,CTNNB1,GRM5,7.871267,6.104808608000002
31,CTNNB1,GSK3B,10.643856,6.605497697999999
32,CTNNB1,GTF2H1,6.897902,6.431616019000002
33,CTNNB1,HOXB6,7.658963000000001,6.551718597000002
34,CTNNB1,HRAS,6.697437299999999,6.994475911000003
35,CTNNB1,HSPA8,5.884523000000001,5.481949307000003
36,CTNNB1,ITGB3BP,6.6819243,6.059014581000003
37,CTNNB1,KCNMA1,7.8889685,6.3447785244000015
38,CTNNB1,KIF20A,5.823677,6.5623753474
39,CTNNB1,LNX1,4.9503694000000005,6.2579736220000015
40,CTNNB1,MRTO4,4.0551414,6.143375528999997
41,CTNNB1,MYBBP1A,8.321928,6.237856922999998
42,CTNNB1,NRXN1,8.099536,4.351711762399998
43,CTNNB1,NSD1,8.836501,6.538081713
44,CTNNB1,NTRK2,8.0,5.807811307999999
45,CTNNB1,PACSIN1,6.6363616,6.281522155400005
46,CTNNB1,PFN1,7.2746224,6.5097737949999965
47,CTNNB1,PFN2,7.871267,5.04459792
48,CTNNB1,PKP4,8.058894,5.723682781799998
49,CTNNB1,POLR3A,7.9434166,6.402306613999997
50,CTNNB1,PPFIA1,8.099536,5.866498027199999
51,CTNNB1,PPFIA2,8.099536,4.291101977800002
52,CTNNB1,PSD3,5.9068904,6.607205724400002
53,CTNNB1,PSME2,7.00965,6.628869838300001
54,CTNNB1,RAB10,8.346175,6.094267983000002
55,CTNNB1,RAB17,6.4806256,5.982363418000001
56,CTNNB1,RAB3C,5.295128,6.542868715400004
57,CTNNB1,RAD9B,5.966724,6.324395902000003
58,CTNNB1,RHOA,10.321928,5.917780790999995
59,CTNNB1,RHOQ,5.9761534,5.486810352
60,CTNNB1,RIMBP2,4.7776074,6.483796428000004
61,CTNNB1,SDC4,7.736965700000001,6.3971752079999975
62,CTNNB1,SLC1A2,6.8889685,4.556790234000002
63,CTNNB1,SLC41A1,6.4806256,6.769304490999999
64,CTNNB1,SNCA,7.769387200000001,6.055883664000001
65,CTNNB1,STX4,8.980891,6.281687763000001
66,CTNNB1,STXBP1,8.099536,5.000043374999998
67,CTNNB1,STXBP3,6.4806256,5.7550679229999995
68,CTNNB1,SV2A,8.099536,6.636273100000002
69,CTNNB1,SYN1,10.321928,6.7931444769999985
70,CTNNB1,TNNI1,6.599462,6.5956735940000035
71,CTNNB1,TNPO2,3.3825448,6.704697572999997
72,CTNNB1,TNR,8.395928,6.2869444529999985
73,CTNNB1,TST,4.678072,7.098491559399999
74,CTNNB1,UBE2A,5.9761534,6.527874602999998
75,CTNNB1,VAMP2,6.971431,6.194731859999999
76,CTNNB1,VPS45,5.295128,5.997524439
77,CTNNB1,VTI1A,5.295128,6.449100486000003
78,CTNNB1,ZFP36,7.8537793,5.9410995530000035
