,genes
362,PSMF1
363,VCAN
364,TWF1
365,NID1
366,ABI1
367,COX7C
368,PGP
369,ALDH1A2
370,FBXL20
371,DCTN1
372,DGKQ
373,ARVCF
374,ECHS1
375,SYNGR3
376,CCT3
377,NAP1L4
378,TFRC
379,EIF5
380,ELP3
381,HDAC2
382,MYBBP1A
383,NCOR1
384,ARMC8
385,CTSA
386,ALDH2
387,SEPHS1
388,RPS21
389,TOMM6
390,KPNA1
391,CHD8
392,GPR158
393,EPHB6
394,TPRG1L
395,GJA1
396,ABLIM1
397,ACSS1
398,DDI2
399,HBB
400,KIAA1109
401,LYPLA2
402,RAP1B
403,LIN7B
404,SUGT1
405,CYB5B
406,IST1
407,ACP1
408,SNX24
409,CHL1
410,MRPL9
411,FLII
412,HDAC6
413,RPL23A
414,SF3B4
415,DNAJB2
416,LUC7L3
417,PPM1B
418,PEX5
419,STAM
420,PACSIN2
421,GLS
422,RPL31
423,USP9Y
424,PPP6C
425,ETFB
426,RBL2
427,HIGD2A
428,CALB1
429,SLC18A2
430,SLC39A12
431,NSF
432,CTTN
433,CSNK1G2
434,NNT
435,PRKCA
436,ATP2C1
437,CNTN4
438,PPP1R16B
439,KLC1
440,HECW2
441,PRKRA
442,HNRNPF
443,RASA2
444,VTA1
445,ANKRD28
446,TRIM72
447,CKAP5
448,UBE2Z
449,SNAP91
450,PDCD6
451,PPFIA2
452,SLC32A1
453,SLC2A1
454,ATPAF1
455,DOCK5
456,AKT1S1
457,VPS53
458,ISCA1
459,KBTBD6
460,SNX14
461,ZNF552
462,EIF5B
463,TPBG
464,NOP56
465,CLDND1
466,NBEA
467,PRKAA1
468,PRKDC
469,TRAPPC9
470,USP48
471,ADARB1
472,SIK3
473,SLC4A1AP
474,PRKAR1A
475,MAGI1
476,GGT7
477,RPL13A
478,PON2
479,CHRM1
480,PTPRF
481,RAB11FIP5
482,SPR
483,SRP19
484,GNAI3
485,GSTM5
486,WASF3
487,JRKL
488,RPL21
489,TCEAL5
490,CSMD3
491,TXNDC17
492,SEC16A
493,CCAR1
494,CYLD
495,SLC39A10
496,HUWE1
497,MARCKSL1
498,HSPD1
499,DTNA
500,MADD
501,MTCH2
502,NQO1
503,PTPN11
504,DCTPP1
505,SMYD3
506,ATP1A1
507,GPX4
508,KIAA1217
509,RPRD1B
510,AKAP6
511,ILK
512,ANKFY1
513,ADAM10
514,TSTA3
515,ANP32B
516,HSPA9
517,APMAP
518,VSNL1
519,PPP3R1
520,NUP85
521,CIRBP
522,SGTA
523,DMTN
524,ABCD3
525,UBXN1
526,RALB
527,ARCN1
528,ZW10
529,NUDT21
530,MACF1
531,PEX14
532,SLC30A9
533,PABPC1
534,DHX30
535,TMEM132A
536,ATP6V0D1
537,DKC1
538,CACNB1
539,ARMC6
540,ARPP19
541,EIF2S2
542,SCAP
543,USP39
544,HNRNPAB
545,SNCA
546,STX12
547,RTKN2
548,SPHK2
549,CASQ2
550,GNB2
551,PIP4K2A
552,BAIAP2
553,RLBP1
554,CARNS1
555,LIMA1
556,AMT
557,CDK11B
558,ATP6AP2
559,EPHB1
560,GSR
561,PSMA1
562,SSRP1
563,ATRN
564,EEFSEC
565,CNTNAP1
566,EFHD1
567,ABCC8
568,DCN
569,FHL2
570,OPA1
571,PPP3CB
572,RDX
573,SLC20A2
574,DDR1
575,APOA2
576,BTN2A1
577,RCC1
578,HDGF
579,SLC22A17
580,EIF2S1
581,COPS6
582,REEP1
583,RGS14
584,RPS6KA1
585,TPM3
586,PCDH7
587,RPIA
588,PAFAH1B2
589,THOC6
590,POLDIP2
591,SVIP
592,CD9
593,GPT
594,PSD2
595,PTPRN2
596,PTMS
597,ROGDI
598,FAM160A2
599,SLC12A6
600,ASRGL1
601,ECHDC1
602,SLC7A14
603,GSS
604,NT5C3A
605,DDAH1
606,RAB5A
607,FKBP1A
608,METAP2
609,ADAM9
610,SCAF4
611,NCK2
612,SH3BGRL
613,HNRNPA1
614,PSMA5
615,ATG3
616,RCOR3
617,CPS1
618,AHSA1
619,CEP170
620,PSMA3
621,RAB3GAP2
622,GCLC
623,TTBK1
624,SYT9
625,RPL35A
626,CSRP1
627,SLC16A2
628,DDX4
629,SNRPB2
630,CAND1
631,CPD
632,DAD1
633,SLC6A17
634,AP2S1
635,CDC42BPA
636,ABCC5
637,SNRPG
638,FN1
639,CSE1L
640,CLEC16A
641,EIF4E
642,EMC3
643,NONO
644,MAST1
645,DNAJB11
646,HOMER2
647,TM9SF2
648,DDX3Y
649,ALDH5A1
650,KCND3
651,CSNK2B
652,PLCB1
653,RPS29
654,ALDH1A1
655,RNF25
656,IWS1
657,CDK6
658,DFFA
659,FHIT
660,CCDC124
661,PALM
662,AP3S1
663,FCRL1
664,FTH1
665,KCNMA1
666,DCAF8
667,RAB3GAP1
668,SNX9
669,TMED2
670,NSDHL
671,GFPT2
672,PLCD1
673,ABLIM3
674,ARMC10
675,CSTF2
676,PUF60
677,NFXL1
678,TMEM63B
679,FABP1
680,YY1
681,PRDX2
682,DIRAS1
683,REEP2
684,RPL34
685,OSCP1
686,TMEM43
687,ASPSCR1
688,TPPP
689,CDC42BPB
690,CTNND2
691,MVD
692,SRSF9
693,PITPNC1
694,AGPS
695,EEF1A2
696,CCZ1
697,PFKFB1
698,XRCC1
699,SLK
700,ST13
701,EPS15L1
702,GBE1
703,SNCG
704,CD99L2
705,ANXA5
706,NXN
707,RPS3A
708,AVL9
709,CTSZ
710,PREX2
711,ACAT1
712,NCAM2
713,HPRT1
714,OAT
715,GLDC
716,PDE2A
717,STXBP6
718,RAB8B
719,SPECC1
720,SF3A3
721,SLC25A42
722,TRIM32
723,SUPV3L1
724,CDC42
725,LZTS3
726,RECQL
727,HEXB
728,LANCL2
729,GLMN
730,MYH10
731,PFDN6
732,RASAL1
733,CACNA1A
734,FBXO7
735,TST
736,KCNAB1
737,SLC14A1
738,RPL19
739,PTPRS
740,SLC16A1
741,APEX1
742,THRAP3
743,MRPS27
744,MCTS1
745,RPL7
746,VDAC3
747,DCLK1
748,FABP5
749,CUL4A
750,OCIAD2
751,SEC61A1
752,BPTF
753,DOCK4
754,AIMP1
755,TBCK
756,TP53I3
757,TOP2A
758,CERS2
759,ENO3
760,SF3B3
761,SLMAP
762,BRI3BP
763,APBA2
764,MAPK15
765,DSP
766,ZFYVE1
767,SLC2A3
768,SV2A
769,GDI2
770,APOA1
771,PPP6R2
772,PPEF1
773,CAND2
774,KIFAP3
775,GAN
776,ACTR1A
777,NHEJ1
778,FRRS1L
779,CUTC
780,BCAS2
781,TXNL1
782,TM9SF4
783,RUNDC3A
784,NDUFAB1
785,TNKS1BP1
786,DBN1
787,AGFG1
788,DCTN6
789,SLC25A24
790,WBP2
791,FSCN1
792,MGST1
793,DNAJC7
794,EPHB3
795,SRRM1
796,PSD
797,DOCK3
798,DNAJA3
799,MSH2
800,AP2M1
801,SDR9C7
802,ACOX3
803,PLCL2
804,AFG3L2
805,TRIM2
806,LYPLA1
807,RPL23
808,SRSF11
809,SLC25A11
810,ESYT2
811,MAPRE2
812,CYP4X1
813,PSMA7
814,PTP4A2
815,SYT5
816,RAB11A
817,PDK3
818,AKR1C2
819,PCYT1A
820,ITM2B
821,RNASET2
822,SRR
823,TNS1
824,PPFIA4
825,MYO1A
826,PKP2
827,PDHA2
828,TKT
829,RABL3
830,SERPINA1
831,ATP8A1
832,MBOAT7
833,THOC3
834,ARG2
835,ATP1B3
836,GGPS1
837,PSMC6
838,SACM1L
839,SERPINB9
840,KCNA2
841,AP2A1
842,RPS6KA3
843,SERPINF1
844,GGCT
845,LAMP1
846,PPP1R11
847,KCNQ2
848,EHD1
849,ALDH7A1
850,RAB7A
851,CIAO1
852,S100A4
853,LYN
854,BCAS3
855,CNDP2
856,FA2H
857,PCSK1
858,PRPF40A
859,SMC5
860,PDGFRB
861,ACAA1
862,GOT1
863,COL3A1
864,IPCEF1
865,KCNC1
866,MYO1C
867,UCHL5
868,SKIV2L
869,FAM136A
870,AGRN
871,CALD1
872,NUDT11
873,CPNE9
874,ITGB2
875,OSBPL8
876,VPS13A
877,IK
878,APOO
879,PPA2
880,SNX12
881,RBFOX2
882,STK38L
883,ZDHHC17
884,C4BPA
885,CTNNB1
886,DNAJC6
887,TGM2
888,DNAJA1
889,DST
890,PSME1
891,DYNLL1
892,LASP1
893,PDIA6
894,GSTM2
895,PRRC1
896,HSD17B11
897,RPL26
898,NEFH
899,TAOK3
900,FLNC
901,TOM1L2
902,TUBB2B
903,COQ5
904,MRPL10
905,CD44
906,PACS1
907,TIPRL
908,MRPL38
909,GRM5
910,WDR91
911,ANXA4
912,MTCH1
913,SEMA4G
914,CRIP1
915,ACSF3
916,SYT2
917,ITSN1
918,DNAJC8
919,HSPB8
920,S100A16
921,TPM4
922,MCCC2
923,RAB4B
924,UBXN4
925,CDH13
926,AMPD2
927,CBX3
928,PLCB3
929,CENPV
930,GPSM2
931,UBA5
932,EGLN3
933,SERPINA3
934,GEMIN5
935,RAB39A
936,MAP2K2
937,SCARB2
938,ARHGEF12
939,DCTN5
940,EIF4E2
941,LYRM7
942,ME3
943,HSPH1
944,PCDHAC2
945,FERMT2
946,NIT1
947,RCAN1
948,YWHAZ
949,PCMT1
950,CAMK4
951,PLXNA2
952,PDE1B
953,UACA
954,RABL6
955,SLC44A5
956,PRICKLE1
957,GPS1
958,NADK2
959,TSC1
960,AK3
961,NUDCD2
962,MORF4L1
963,MGST3
964,ARHGDIA
965,PPP2CA
966,DR1
967,SAR1A
968,STOM
969,CLIP1
970,NCK1
971,IFT81
972,ANAPC2
973,HMGB2
974,RPL12
975,ACBD3
976,ANK1
977,SEL1L
978,SPAST
979,TSG101
980,EEF1E1
981,HNRNPM
982,MTHFD1
983,BAZ1B
984,COL1A1
985,RPS9
986,UBL4A
987,CACNA2D2
988,PFKP
989,RNF11
990,LONP1
991,EPHX2
992,TP53RK
993,TPI1
994,VAMP7
995,AKR1B1
996,CAMKK2
997,DNAJC19
998,CA8
999,STK39
1000,EARS2
1001,RAPGEF2
1002,PRPF31
1003,EIF3C
1004,FUS
1005,CSTF1
1006,UBE2O
1007,RPS2
1008,UNC13A
1009,C2CD4C
1010,DNAJB4
1011,CLIC6
1012,WDR7
1013,ACTB
1014,GPD1L
1015,TXNDC9
1016,OSGEP
1017,TMX3
1018,RBM25
1019,CHGB
1020,DGKA
1021,ASNS
1022,PDPR
1023,SUPT5H
1024,HPCA
1025,RPLP1
1026,CRKL
1027,EIF3L
1028,NCAM1
1029,SLC4A4
1030,PCCB
1031,NAA10
1032,CPSF7
1033,ATP6V1H
1034,BRIX1
1035,ALB
1036,GRWD1
1037,TMX2
1038,CMBL
1039,DGKB
1040,GAA
1041,ANO10
1042,PGAM5
1043,UBQLN4
1044,SSB
1045,KLC4
1046,LACTB
1047,CHMP1A
1048,ADD2
1049,DCXR
1050,TYMP
1051,ENO2
1052,CDKL5
1053,INA
1054,TRAPPC2
1055,CACNA2D1
1056,MAPRE1
1057,CD82
1058,KRT222
1059,EIF4H
1060,ELAVL1
1061,PPP1R12A
1062,DHCR24
1063,ADHFE1
1064,TOMM22
1065,SYN1
1066,PEBP1
1067,LRSAM1
1068,MTHFD1L
1069,BCAN
1070,PCK2
1071,ACAP1
1072,DGKZ
1073,SLC1A4
1074,SAR1B
1075,ITGA6
1076,LIN7C
1077,NCL
1078,SDCBP
1079,PPP6R3
1080,PDAP1
1081,ERH
1082,NKIRAS2
1083,TUBB4A
1084,WDR37
1085,CALR
1086,VPS8
1087,FEZ1
1088,SLC7A8
1089,TM7SF2
1090,RAD50
1091,SYT12
1092,GLRX
1093,CDK18
1094,CALCOCO1
1095,HEBP1
1096,PRKCI
1097,SHANK2
1098,CSPG4
1099,TMEM11
1100,RANBP9
1101,ECH1
1102,CSTF3
1103,PNKD
1104,ATL1
1105,AKR1C1
1106,COPA
1107,SACS
1108,CA2
1109,NUMBL
1110,HLCS
1111,CPNE6
1112,PITPNM3
1113,DPYSL4
1114,MPG
1115,RTN4RL2
1116,LRP4
1117,COL1A2
1118,NRAS
1119,ALDH18A1
1120,ITGB4
1121,RPS27
1122,SUN2
1123,USP34
1124,TTN
1125,SLC7A1
1126,WNK2
1127,PODXL
1128,PSAT1
1129,RHBDD2
1130,DAZAP1
1131,VAC14
1132,FKBP8
1133,EPB41L5
1134,RASGRF1
1135,PHF20L1
1136,RPL36A
1137,ITCH
1138,PIP4K2C
1139,SF3A2
1140,CAPZA2
1141,VPS37B
1142,GLRX5
1143,KTN1
1144,DECR1
1145,LSS
1146,PHACTR1
1147,SMURF1
1148,CHD5
1149,CRK
1150,CSPG5
1151,FGF1
1152,NEGR1
1153,FKBP10
1154,ANXA6
1155,GSK3B
1156,PAFAH1B3
1157,DNAH7
1158,LXN
1159,CRMP1
1160,TRPV2
1161,DENND4B
1162,NDUFS4
1163,RASA4
1164,S100A8
1165,MRPL3
1166,MMAA
1167,IL1RAPL1
1168,NCALD
1169,FBXL15
1170,MAP2K6
1171,LAMB2
1172,OLFM1
1173,CACNA2D3
1174,SERPINE2
1175,GSTP1
1176,SRM
1177,COL4A1
1178,EDC4
1179,UBASH3B
1180,PCLO
1181,NTNG1
1182,CPNE4
1183,PRPH
1184,TJP1
1185,UBL3
1186,TUBG1
1187,GOPC
1188,DRG2
1189,NAA15
1190,DHX9
1191,PTPRA
1192,OPTN
1193,FKBP4
1194,MDN1
1195,USP8
1196,JAM2
1197,DDRGK1
1198,CP
1199,EPS8
1200,CHP1
1201,SEC23B
1202,SMARCA5
1203,WDR82
1204,HECW1
1205,FDXR
1206,HADHA
1207,AASS
1208,OSBP
1209,GIPC2
1210,PKM
1211,SORBS1
1212,LRPAP1
1213,RPN1
1214,MTDH
1215,CTTNBP2
1216,GHDC
1217,BSG
1218,SPCS2
1219,APPL1
1220,GLO1
1221,TRAPPC4
1222,PAIP1
1223,RRAGA
1224,RPL13
1225,CCDC93
1226,PTPN1
1227,HOOK3
1228,ISOC2
1229,ABCE1
1230,LRPPRC
1231,CDC42EP2
1232,NRGN
1233,GRM3
1234,COPZ1
1235,SLC25A6
1236,OLA1
1237,IARS2
1238,CACNG3
1239,CLPTM1
1240,BMPR2
1241,CHGA
1242,VCL
1243,FEN1
1244,PPIA
1245,RPS16
1246,FBL
1247,SLC9A3R2
1248,ZYX
1249,ATXN10
1250,GOLGA7
1251,TLR9
1252,VAMP3
1253,PSMD14
1254,GNA13
1255,SH3GL2
1256,PTRH2
1257,STX8
1258,CAD
1259,UQCRFS1
1260,CAB39
1261,AFTPH
1262,PDLIM3
1263,TSPAN7
1264,CLUH
1265,GNAO1
1266,FBXO22
1267,CTSL
1268,NUCB2
1269,OSBPL1A
1270,EIF3J
1271,TUBAL3
1272,FRMD5
1273,APBB2
1274,PTPRK
1275,MAP2K7
1276,SBDS
1277,SHANK1
1278,TENM4
1279,PTGR1
1280,THOC2
1281,RAB6A
1282,LRFN1
1283,IPO5
1284,PARK7
1285,SFXN1
1286,ACAT2
1287,PHF14
1288,EPHX1
1289,PITPNM1
1290,SLC4A1
1291,DCTN2
1292,EIF2AK2
1293,GNS
1294,PICK1
1295,PPP2R5E
1296,TIMMDC1
1297,UBE2I
1298,EVI5L
1299,RRM2B
1300,ARMCX3
1301,EIF3I
1302,ELAVL2
1303,GABBR2
1304,GRIK1
1305,GK2
1306,MOBP
1307,P4HB
1308,GMPS
1309,VIM
1310,CLYBL
1311,EPS8L2
1312,FTO
1313,KMT2A
1314,CRAT
1315,EML4
1316,GCDH
1317,CRYZL1
1318,ZMPSTE24
1319,EPHB2
1320,BCKDHB
1321,UNC79
1322,CLASP2
1323,LARS2
1324,C4A
1325,PTK2
1326,HNRNPL
1327,UBE2D4
1328,SLC4A10
1329,MTFR2
1330,TUBA8
1331,SYAP1
1332,PTPN23
1333,SAMM50
1334,ARGLU1
1335,CKB
1336,WDR81
1337,DCX
1338,RPA3
1339,BRINP3
1340,RIC8A
1341,OXCT1
1342,CARS2
1343,ELP2
1344,ISOC1
1345,ETFA
1346,GAB1
1347,SCAI
1348,RBM17
1349,RAB5C
1350,EIF3A
1351,ADH5
1352,QRICH1
1353,S100A13
1354,MYO1B
1355,SCAMP3
1356,CADM1
1357,ANKIB1
1358,ENPP6
1359,DLGAP1
1360,NHLRC2
1361,ALDOB
1362,SCG5
1363,NECAP1
1364,SH3GLB2
1365,RPL3
1366,ATXN2L
1367,RABGAP1
1368,STAU1
1369,GNPDA2
1370,RPRD1A
1371,STRIP1
1372,ACSBG1
1373,HSBP1
1374,PSMA2
1375,C3
1376,ME1
1377,VAPB
1378,NAGK
1379,SNAPIN
1380,PPP1CB
1381,ARFIP2
1382,HARS2
1383,TGFBRAP1
1384,OSBPL2
1385,SLC24A2
1386,MARK4
1387,KHSRP
1388,NDUFB11
1389,PAG1
1390,IGSF21
1391,SND1
1392,PLBD2
1393,LSM14A
1394,SYNGAP1
1395,RAB33A
1396,NRXN1
1397,MMAB
1398,RABGGTA
1399,EIF3K
1400,ERP29
1401,FAM131B
1402,HSPA2
1403,SULT1A1
1404,YWHAQ
1405,TBC1D24
1406,RSL1D1
1407,DIS3
1408,EFTUD2
1409,ATP1B2
1410,USP11
1411,HSDL1
1412,PIGT
1413,SRSF10
1414,AHCYL2
1415,SLC8A1
1416,ARRB2
1417,CAPG
1418,UROD
1419,SSR1
1420,SMAD4
1421,WDR5
1422,ATXN2
1423,C2CD5
1424,CPT1A
1425,ITIH4
1426,DPP3
1427,LTA4H
1428,TSPAN15
1429,PSME2
1430,PRPS1
1431,ACLY
1432,STAMBP
1433,NRCAM
1434,PCIF1
1435,KLC2
1436,RPTOR
1437,CPNE5
1438,RALBP1
1439,RAB24
1440,IGFBP5
1441,FASN
1442,STUB1
1443,FAT3
1444,CBX1
1445,GRM7
1446,COX17
1447,RNF123
1448,ACSL3
1449,VPS4B
1450,ZC3H18
1451,VWF
1452,COMMD4
1453,UQCC1
1454,BRINP1
1455,CDK5RAP3
1456,PLIN3
1457,DAAM1
1458,CELF1
1459,NME1
1460,CCDC88A
1461,SSBP1
1462,AKAP10
1463,PNPLA6
1464,SUCLG1
1465,TIMM21
1466,ACTL6B
1467,DMD
1468,PDE4B
1469,MIA3
1470,ADSL
1471,WDR41
1472,CDC5L
1473,TOR1AIP1
1474,ARHGEF9
1475,YWHAE
1476,L1CAM
1477,RPN2
1478,ABCA5
1479,MFSD10
1480,PPP2R5B
1481,SCGN
1482,RPS6KA2
1483,CAMKK1
1484,SMARCC2
1485,DMXL1
1486,NF1
1487,ASAH1
1488,ARID4B
1489,FXR1
1490,CHMP7
1491,AP3B1
1492,MLLT11
1493,RPL5
1494,TRHDE
1495,PLGRKT
1496,LGI3
1497,NFIA
1498,EIF4A2
1499,PCNA
1500,CLINT1
1501,GRM2
1502,GSN
1503,KATNB1
1504,BCAT2
1505,AP1S2
1506,NLN
1507,DPYSL5
1508,FNBP1
1509,L2HGDH
1510,LMTK2
1511,SEMA4A
1512,HSP90AA1
1513,MFGE8
1514,TXN
1515,STMN3
1516,PSMB6
1517,TPT1
1518,UGP2
1519,GABRD
1520,MSI2
1521,TIAM2
1522,NOS1
1523,RABGEF1
1524,TXNRD1
1525,FLNA
1526,HNRNPA2B1
1527,NCKAP1
1528,CTBP2
1529,SMPD1
1530,BZW2
1531,PTK2B
1532,DHTKD1
1533,RTN4
1534,CORO1A
1535,PRDX5
1536,TPR
1537,TRIM46
1538,RAD23A
1539,NOL9
1540,ZADH2
1541,FDPS
1542,TTYH2
1543,ABCB1
1544,DLG3
1545,KIF5C
1546,EIF3M
1547,HDAC11
1548,NDUFS8
1549,ABLIM2
1550,RAB1B
1551,FARS2
1552,INTS3
1553,PDHA1
1554,CTNNA3
1555,PIGN
1556,SEC23IP
1557,CAMSAP1
1558,CAPZB
1559,PRKG2
1560,ARHGEF11
1561,SIRT3
1562,MTM1
1563,ACOX1
1564,PDZK1
1565,HAGH
1566,MICAL3
1567,SRGAP3
1568,TYRO3
1569,BNIP1
1570,CACNG2
1571,LAMC1
1572,SYT11
1573,RAD21
1574,APOL2
1575,RFTN2
1576,VPS52
1577,SLC35B4
1578,LGALS3
1579,LRRTM4
1580,GABRB3
1581,PABPC4
1582,PTPRD
1583,TPMT
1584,SH2D5
1585,DYNC1H1
1586,CAMSAP3
1587,PHIP
1588,SLC6A9
1589,AK4
1590,FAH
1591,PDCD10
1592,CETN2
1593,SEMA6A
1594,PSIP1
1595,TENM2
1596,EXTL3
1597,XPO7
1598,EEF1G
1599,RPL38
1600,ACTN2
1601,SH3BGRL3
1602,TOM1
1603,SLC1A6
1604,TXNDC12
1605,RAB21
1606,NDEL1
1607,EIF6
1608,DOCK10
1609,CYB5A
1610,BAG3
1611,RGS6
1612,YBX1
1613,OXR1
1614,MAP2
1615,RPS5
1616,UQCRB
1617,KIDINS220
1618,INPP5A
1619,ATP6V0D2
1620,CNPY3
1621,GLRX2
1622,MYH8
1623,KRT10
1624,SCLY
1625,PLCD3
1626,DMAP1
1627,INTS5
1628,HSDL2
1629,RPS17
1630,TH
1631,CTCF
1632,MON2
1633,NAPB
1634,EEF1D
1635,CPSF1
1636,SEZ6
1637,TCP1
1638,FAM126B
1639,UBE2Q1
1640,TERF2IP
1641,UAP1
1642,THUMPD1
1643,IDH3B
1644,PADI2
1645,RUVBL2
1646,AGL
1647,PANK3
1648,SCN8A
1649,FAT1
1650,RBM23
1651,SUPT6H
1652,RPS3
1653,CPSF6
1654,GRSF1
1655,CISD1
1656,CUL5
1657,FBN1
1658,CEND1
1659,PDE1C
1660,PCDH17
1661,PSMD11
1662,COL4A2
1663,CCT6A
1664,IMMT
1665,TWF2
1666,CYTH3
1667,CHMP6
1668,CRIP2
1669,PEF1
1670,TPRKB
1671,CDS1
1672,FKBP3
1673,U2AF2
1674,RTN1
1675,ATG2A
1676,CLMN
1677,HELZ
1678,PTPRO
1679,CCDC90B
1680,PTPN9
1681,CCT8
1682,VAT1
1683,IGSF8
1684,SRRT
1685,SRSF6
1686,CASK
1687,HOOK1
1688,CHTOP
1689,LEMD2
1690,CIT
1691,NRN1
1692,KPNA4
1693,ADAM22
1694,NBAS
1695,ANP32A
1696,ANP32E
